teks,label_emosi,label_angka
dear cheatsheetnya mantul bingbooooooyyy alias mantap banget nangis kamu kalo jadi orang aku sudah confess terima kasih ya always nemenin tiap proses and progress aku ily sayang doain aku lolos tekdus ugm ya,happy,3
paham banget sih kak aku takut ada plot hole nya ya mungkin dibikin cerita sesi misal tapi terus ngebahas dikit apa yang ada di sesi begitu jadi enggak perlu bikin cerita untuk yang sesi selanjutnya kakak selipin di cerita mungkin di narasi atau pas chat danispapa ngebahas sesi,fear,2
astaga ada album segala mau,surprise,6
tetap tidak bisa di pegang ramalan pengamat bayaran jokowi qadari tetap rendah kan pdip supaya jokowi senang saweran milyar bikin grafik pdip turun drastis itulah mata pencaharian para termul,happy,3
pengin berbuat jahat tapi tuh takut nah orang yang senang berbuat jahat itu pada berani ya,happy,3
khawatir dd tibatiba sakit perut pas lagi ngerjain soal di ruangan,fear,2
Barang pesenan udah ditungguin seminggu pas dateng salah warna dan ukuran,angry,0
hari ini sudah ditegur orang karena kelihatan lemes kayak banyak pikiran padahal memang iya enggak ada smgt hidup,neutral,4
sih gin astaga,surprise,6
gor al amin supriyadi kak cek saja di ig komun badminnya zona bahagia,happy,3
thomas terkejut aku,surprise,6
bersyukur masih bisa nangis soalnya kalo enggak nangis hati jadi enggak bisa lega,happy,3
bagaimana hari ini mon,neutral,4
kalo ketemu lo gua cuma memeluk lo sambil merasa bahagia saja sudah ada orang yang di balik keceriaannya itu menyimpan beban yang berat tapi lo hebat banget bisa bikin gue yang masanya kelam saat itu bisa tetap ketawa bang,happy,3
lagi capek banget enggak tau ah mau nangis,sad,5
pls jangan buat i nangis sekarang i didn t know itu would be this obvious lol,sad,5
ini di korea hari saja langsung sold out ini entar di indonesia dengan venue sekecil itu apa enggak berdarah darah entar war nya jujur takut,fear,2
jayaa peluk jayqeelkuh dia pasti segera kembali padamu wrose perlahan upaya fatah mulai berhasil enggak sabar menunggu puncak emosi aqee bakal dibikin kayak apa tapi entar kalo sudah ingat tolong jangan benci pak leon ya qeel dia orang baik dia memang salah tapi dia yang paling tulus,angry,0
gila cakep banget phi boun gtlt,angry,0
masih nanti malam anjing cemas nya dari sekarang,angry,0
Koneksi dimatiin sepihak padahal lagi asik-asiknya ngerjain tugas penting,angry,0
najis banget naaa malas malessss,disgust,1
terus gweh kayak yang oh ini ya yang di rasakan winnnon entuh wkkwkwkwkk eh demi deh ketawa,happy,3
aku mau kayak begini tapi cowokku harus zhang li he kalo enggak aku merasa jijik sama diriku sendiri,disgust,1
terus pas sudah lumayan lama kerja aku baru dikasih tau kalo ownernya almamater sama aku jadi mungkin aku dipilih karena itu cenah masih cenah ya guys aku enggak bertanya lagi ke managerku karena kita berdua sudah resign,neutral,4
sumpah aku sayang banget sama azriel cok takut,fear,2
jijik banget ketikannyaa,disgust,1
ngeri banget pasifnya dari sebuah kue,fear,2
ih orang orang kesel enggak ya aku rep hmu hmu terus setiap ada yang mencari mutsi,angry,0
alhamdulillah abdi tebih ti kopo janten moal katepaan helium wkwkwk,happy,3
sudah ditahap najis banget lihat dia,disgust,1
rezaa gue yang ketar ketir ngeri lu ketahuan lagi hati hati senada first date,fear,2
yaampun gray ㅠㅠ️ tapi memang rill dia kalo lagi marah mukanya seram banget,angry,0
lu pada saja antek asing takut di kupasin bejat lo sama doi,fear,2
baru saja lihat di reels ada shawty choosin up versi fanmade bagus banget nangis banyak aku️,sad,5
sudah ya sedihnyaa aku pengin buat kamu bahagia sampai hari itu tiba okeyy,happy,3
curiga sih prada marah marah aslinya tertuju buat pacarnya,angry,0
banyak yang bilang freelance itu ribet enggak jelas bahkan nipu enggak semua ya freelance itu scam atau nipu eits no noo jangan kebanyakan mikir tapi enggak mulaimulai daripada gabut cuma scroll mending ngehasilin duit enggak sih yuk jangan malas dan jangan takut belajar,fear,2
suka cari duit alhamdulillah,happy,3
jujur khawatir ya boleh spoiler clue,fear,2
woe nangis banget,sad,5
alihalih khawatir berlebihan lihat apa yang benarbenar terjadi panen berjalan pangan tetap tersedia petani kita lagi kerja nyata bukan sekadar wacana,fear,2
kalo ambil tekno takut jadi chatgpt,fear,2
posesip banget najis enggak ada yang ngambil juga anjir,disgust,1
segenap keluarga besar lembaga pemasyarakatan kelas iib muara teweh mengucapkan selamat datang kepada agustinus siagian sh sebagai kepala seksi pembinaan narapidanaanak didik dan kegiatan kerja lapas kelas iib muara teweh,neutral,4
tolong sepatah kata atau lebih untuk mobil sialan ini kalean mau kemana sih njg,angry,0
sedih banget demi dah,sad,5
tidak ada satupun berita palsu yang disebarkan oleh video tersebut ini merupakan taktik kesayangan masa najib untuk senyapkan pengkritik dengan memaksa mereka pergi ke balai walaupun dakwaan tiada merit mengapakah kerajaan takut dengan azam,fear,2
benar lebih senang dipuji cantik sama cewek berasa lebih aman,happy,3
baru menyadar bulan ini aku sudah nangis kali,sad,5
astaga sangat malam sekali semoga aku tetap terjaga,surprise,6
buat apa lepas sendal asiknya karpet begini malah enggak dibersihkan dan enggak khawatir lecet pakai frontier di cakar anjing saja masih aman,angry,0
terkejut bautista dibuatnya strim aksi terbaik worldsbk live di langgan pek motorsport sekarang untuk akses tiada had untuk dan banyak lagi,surprise,6
caleb brengsek rafayel kampret sudahlah sama xavier saja,angry,0
hahhahahah wow my tiktok algorithm is freaking me out,surprise,6
perkenalkan ia akrab disapa asni mahasiswi yang punya satu misi membuat orang lain bahagia dengan alunan melodi adakah yang berkenan untuk dengan asni,happy,3
marah semarah marah nya gue di cabang ini saja baru satu bulan lagi adaptasi masa disuruh pindah lagi,angry,0
besok gue dm lu,neutral,4
kalian harus ikut belanja dan trading aset crypto di indodax karena banyak promo dan hadiah menarik juga loh dan kalian juga berkesempatan mendapatkan hadiah jutaan rupiah juga ayo mulai sekarang username indodax ilhamrahmatullah,neutral,4
what is this chaos hahahhahahaahah astaga,surprise,6
geli anjg wkwk,disgust,1
super happy karena banner ku gunting batu kertas yang kalah shoot heart arrow di notice kihyun walopun dalam keadaan panik karena satu tangan pegang hp tangan lain pegang banner jadi enggak ke record dengan baik tapi kakak sebelahku ngerecord dan mau ngirimin fancamnya,happy,3
perutnya botak habis usg wkwkwkwkwk senin pagi kemarin huru hara karena ybs bolak balik litter sambil nangis papak dan ibuk langsung drop everything dan buruburu ke vet karena worry banget eh taunya anyanganyangan mana bill vetnya sejuta,sad,5
alhamdulillah sudah balik,happy,3
pasti terkejut banget,surprise,6
gue kesel banget sama amba minimal kalau enggak bisa komitmen putusin salwa pls he deserves better gue sedih banget,sad,5
kepala rasanya melayang² mual pusing apakah aku hamil,disgust,1
nangis banget ya lihatnya,sad,5
cepat banget astaga joong hahaha,surprise,6
kok sedih kenapa,sad,5
gue mah kalau deh enggak suka walaupun lagunya bagus najis banget mendengarkan lagunya wkwk,disgust,1
wow that si nice let me check mine,surprise,6
najis banget lihatnya,disgust,1
cara membedakannya di harihari biasa sendirian kamu merasa tenang amp bisa recharge kesepian kamu merasa hampa meski sudah ditemani kalau lagi kesepian jangan buruburu cari orang coba dulu temenin diri sendiri dengan baik,neutral,4
ᅠ 𝘱𝘶𝘬 𝘱𝘶𝘬 belum sedetik ia pejamkan jasmine kembali dibuat merinding dengan rasarasa seseorang dengan tenang menepuk bahu kirinya sejenak ia menoleh ke arah bahu itu ditepuk tidak ada apapun selain lampu nakas yang menyala gadis itu kembali memejamkan mata ᅠ,fear,2
tergantung shift pulang jam berapa,neutral,4
true najis banget bisabisanya sebejat itu ke cucu sendiri semoga korban dapat bantuan pemulihan dari pemerintah,disgust,1
bisa pulang pas masih ada matahari such a blessing,neutral,4
bangqe pulang lari sore adek nyetel terbuang dalam waktu langsung sedih teringat guerilla tadi sore,sad,5
aku takut banget lihatnya mana pada jorok juga,fear,2
deh lah hodoh jijik perangai macam setan semoga mampus semua,disgust,1
iya pacarku memang lucu kan jun,happy,3
junmyeon itu memang sabar dia setebal dompet dia tapi jangan terkejut one day dia meletup kalau deh harihari ada je nak cari salah dia,surprise,6
di part ini semuanya pada stres banget gila,angry,0
sudah makan malam bub,neutral,4
itu punya orang nitip tadi ros,neutral,4
sumpah iya kesel banget jawabannya ini mulu diskusi diskusi,angry,0
nambahin nangis sampai mual,sad,5
Tas ranselnya ketumpahan susu basi di bagian dalamnya,disgust,1
bikin betah streaming otl tuh karena beberapa scene yang bikin tercengang dan ketawa sih,happy,3
tedy kenapa senang banget lehernya ditutupi,happy,3
sedih banget kalah war kali kalah war jastip pula ya allah,sad,5
tee anjir jaketnya bagus berapaan nick yen tee hah sudah ayo ayo tee kayak kita saja kalo lihat harganya agak mahal sudah ayo cari yang lain saja bjir ketawa wkwkwkwk ีรเดช,happy,3
enggak usah lah pakai alesan buat anak entar guilt trip ke anak mamah berkorban demi kamu anak bisa sense kalau orang tua nya enggak bahagia apalagi nanti dia mengerti kalau orang tua atau salah satu menderita karena dia memang lu berharap anak bakal senang bakal berterimakasih begitu,happy,3
senang banget akhirnya punya unniee,happy,3
ngeri juga ya kalo jebol,fear,2
oh aku terkejut bukan perkara aku risih difoto tapi ternyata aku yang sejak awal jadi objek astaga guru satu ini benarbenar menjijikkan jika diancam seperti barusan langsung mengaku berarti yang diucapkan betulan ugh disgusting meski mengucapkan merasa jijik,disgust,1
kak aku diketawarin juta melihatnya pun udsh mual enggak ada tenaga buat nego,disgust,1
reis ya panik olursa birde kaç taban gidecek,fear,2
gue bersyukur gue masih bisa menahan diri masih dalam keadaan sadar dan bisa berpikir tapi di akhir gue selalu jadi kayak berantem sama diri sendiri,happy,3
boleh aku nangis,sad,5
takut banget,fear,2
tolong kalimat terakhir nya diapus agak jijik ya,disgust,1
sedih banget anjg sesek gue,sad,5
gila gua cemas banget sama waktu transport is really a big thing for me,angry,0
kesel,angry,0
marah kenapa bre lu cewek salah satu pelaku ya,angry,0
ini gara gara papi yang otaknya jorok,disgust,1
iya benar walaupun dari konsep yang survey dark vibes ini lebih bagus sih jujur dari exo tapi takut warna skill nya bakalan sama,angry,0
tolong dihapus kak ada miss informasi ini,neutral,4
kegiatan sosialisasi ini merupakan bagian dari upaya kejaksaan republik indonesia dalam mengimplementasikan kebijakan nasional terkait pengendalian merkuri sebagaimana diamanatkan dalam peraturan perundangundangan yang berlaku melalui pedoman nomor tahun ini seluruh,neutral,4
di kantor jadi kayak begini takut salah takut mengomong jujur takut kelihatan enggak bisa ujungujungnya main aman terus cemas terus capek sendiri,fear,2
sudah serame itu juga belum diada postingan apa dari acara itu sedih banget jadi gue dibegitukan,sad,5
aku enggak tau yang lainnya tapi aku pernah ketemu yang skizo pun aku curiganya itu mengarang hasil imajinasi tapi ya sudahlah kalau itu bikin dia bahagia karena dapat perhatian,happy,3
geli banget ya,disgust,1
lihat kabar adek adek ini pada sangean betul tiap hari kenapa ya hidup kalian kurang menarik bagian mananya deh sedih sih jujur muak dan jijik mah pasti disayangkan banget kalian lebih menekuni itu daripada hal lain,disgust,1
alhamdulillah cukupppp banget,happy,3
senang sekali zionis brengsek di hajar,happy,3
wok kerja wok bagaimana sih lu,neutral,4
agak sedih mengucapkan selamat sempro dibalas sensi begitu,sad,5
nangis banget dapat nomor busuk seharusnya kemarin kita isi pikmin saja buat main fandomnya wkwkw,sad,5
Ngobrol di bioskop suaranya kenceng banget nggak mikirin orang lain yang mau nonton,angry,0
jarum jam hampir menyentuh pukul ketika liberty berjalan menuju kelas selanjutnya koridor bawah tanah menyambutnya dengan kesunyian khas malam hari oborobor di dinding memancarkan cahaya hangat yang berpendar di atas batu tua sementara suara langkahnya menggema ringan,neutral,4
sedih banget enggak tau kenapaaaa,sad,5
relationship anak holo di streamnya fbk lucu banget anjrit random banget,happy,3
lagi astaga,surprise,6
astaga kenapa sih,surprise,6
Bulu hidungnya panjang keluar-keluar dan banyak kotorannya,disgust,1
besok kalau sudah kerja gaji pertama mau buat beli pc cantik ini,neutral,4
enggak usah sedih pakai sudut pandang yang bikin tenang pekerjaan berkurang gaji tetap sama enak,sad,5
pengin nangis tapi enggak bisa,sad,5
masa kerja faham lah takleh nak spend walau satu saat untuk reply tapi masa tak kerja pun masih tak boleh nak spend one second for me i wonder what itu feels like tapi truly have your attention,neutral,4
wow just when you taught all hope is lost god sent an angel tapi help you this is amazing,surprise,6
kalau sendiri saja bahagia punya pasangan bahagia nya harus kali lipat makanya sampai sekarang aku picky banget sama cowok bukan jual mahal tapi kalo enggak bisa bikin aku bahagia mending gausaa,happy,3
iya mengapai sih masih ngantor kalo sudah jamnya pulang,neutral,4
diberikan sesekali mengangkat alisnya sebagai pertanda ia terkejut ㅤsaya tidak menduga itu agaknya tidak yakin juga bahwa saya bisa menjadi narasumber yang baik untuk memberi panduan mengenai halhal seksual seperti ini berhubung pengetahuan dan pengalaman seksual saya ×,surprise,6
mendukung kebijakan pangan nasional artinya mendukung masa depan anak cucu kita tak perlu lagi cemas soal krisis pangan global jika kita sudah mandiri,fear,2
di dalem nya mah nangis mulu,sad,5
seram amat ketikan lu yang komen di tiktok juga kan lagi bahas sinetron bilang obses kan cuma ada di sinetron bilang bahagia sebelum ketemu alverik itu juga cuma karakter sinetron bukan tentang rl nya,happy,3
gue senang banget kalo bisa menjalani hari tanpa terburu,happy,3
aku ntuh penasaran sama chemistry mereka kok bisa di pasangkan cuma memang kecantol sama vibe pirang pepetin kali dark hair yang menghindar terus lihat bagaimana yic nangis dan bagaimana dia perjuangan mimpinya ah aku kecantol iya loh kayak bisa sih kalian suka blue lock tapi benci mcnya,sad,5
enggak dapat nangong sedih,sad,5
eh tonjok ajasih kesel banget orang begtu isi otaknya enggak benar,angry,0
takut banget bentar lagi muncul tap keramat itu,fear,2
sumpah exo tuh benaran apa ya bawa hal positif mulu tau kemarin aku juga secured dan langsung jajanin satu kantorkayak kalo aku happy teman ku juga harus ikut happy begitu senang banget,happy,3
aku tidur siang tadi,neutral,4
ih kok seram sih,fear,2
kenapa ini penting karena kalau kamu takut sendirian kamu bisa terjebak di hubungan yang salah hanya supaya ada yang nemenin padahal belajar nyaman sendirian justru bikin kita lebih selektif memilih siapa yang boleh masuk ke hidup kita,angry,0
tak sabar nk letak kita rumah terkejut abang nanti,surprise,6
iya tetap nangis deh,sad,5
kaigo kah atau koujo gila sih itu aku dapat saja sudah sangat terkejut apalagi segitu,angry,0
malas ah yang sedih sedihan mulu,sad,5
is everyone on xitter dumb as a bag of rocks and know nothing about trauma,sad,5
banget wlpun smuanya selalu nyentuh di hati ya hug mereka tapi scene ini tuh bnrbnr berasa banget emosional nya rasa khawatir dan takut kehilnganya sedeep itu never thought this was just fiction ️‍,fear,2
jijik sama bercandanya,disgust,1
enggak mau ldr mas trauma,sad,5
cantik sudah ada yang bikin happy belum hari ini,happy,3
pls aku punya dapat habis pakai jadinya sudah nge blank duluan gara gara pakai sumpah pas masuk ke punya sudah mual enggak bisa fokus baca,disgust,1
aku lagi kepikiran terus buat kerja remote,neutral,4
enggak begitu ya maksudnya iya mau dapat uang mah mau cuma tuh nangis ya aku mbak,sad,5
tgh panas panas kita padang terkejut tengok email masuk thank you sok much nureennn kalau open general sale roger okey hehe,surprise,6
pulang yuk nak,neutral,4
jorok lah,disgust,1
Lampu kamar mandi nyala terus padahal nggak ada orang di dalam,angry,0
senang pol pagi ini dibonusin thank youu kak cantipp yuk yang butuh dibantu joki scratch mit app inventor position paper pospap mun esai essay ppt parafrase dll tanya dulu saja konsultasi pospap mun masih free ya,happy,3
kalo kuliah bayar sendiri sih baru gue marah wkwk,angry,0
omg ingat lagi masa nih sebab mv tak keuar lagi tiber diorg terus perform kat smtown sumpat terkejut memang sejuta kali aku repeat tengok,surprise,6
tidur besok kerja,neutral,4
masih terkejut dan enggak menyangka saja sih tante,surprise,6
zerobase ini editannya persis kayak dulu itu sound efeknya juga kayak dulu ketawa jaehwanpun gaberubah masih sama kayak dulu,happy,3
enggak apa-apa nder aku saja sarjana belum kerja,neutral,4
dia mah khawatir kalo status pacar nya bakal hilang sih,sad,5
aku pegang janji unnie ini ya kalo aku ditinggal sama unnie nanti aku nangis loh benar banget unnie tapi unnie sanggup setiap hari diving kah,sad,5
semangat astaga wkwkw deh stres sih ini,angry,0
back tapi field tuh bener² homie banget vibesnya ditambah ada he laoshi sama shifu yang super care amp welcome ke siapapun no drama no script the one amp only varshow yang bikin bob nangis karena syutingnya harus berakhir hoefully bakal ada season sampai seterusnya,sad,5
dan lol itu punya riot dan riot di bawah naungan tencent di bilang plagiat juga sama fan ml nih dongo nya keterlaluan,angry,0
samaan kita gemas ya pinkpink kurang bantal dan selimut enggak sih habis itu tidur waktu jam kerja,neutral,4
sudah kroscek dan hasilnya nihil kenapa enggak posting dosa dosa zulhas yang sudah jelas nyata saja enggak usah di fitnah dia pun sudah brengsek dari sananya,angry,0
makin jijik anjing,angry,0
habis subuh baru bisa tidur padahal usaha buat tidur sudah dari jam setengah satu tapi karena pas mau tidur hampir selalu merasa kangen banget sama manusia yang mungkin gaakan pernah bisa aku temuin itu lagi jadinya bukan tidur malah nangis menahan kangen sampai sesak dadaku,sad,5
Kukunya panjang-panjang dan di dalamnya penuh kotoran hitam,disgust,1
aku enggak tau kamu cuman kepopurely khawatir sama temenmu better jangan menerka apa yang terjadi dikehidupan orang lain enggak etis lebih baik bertanya kabar langsung ke teman sekalian silaturahmi online tapi jangan bahas kenapa dipernikahannyakorek kehidupannya atau lebih baik diam mendoakan saja,angry,0
ya kalo masih fisiologis tanpa penyulit mengapai ke rs ke puskesmas saja juga bisa bidan dan dokter puskesmas paham kok kalo mengurus lahiran spontan kebanyakan kan pada parno pada langsung ke ponek makanya anc yang benar bpjs nanggung kok,fear,2
yaudah silakan diurus ke pengadilan biar yang fitnah sama yang di fitnah bisa melakukan pembuktian yang lain enggak usah ikutan budaya kita itu orangnya senang banget ngerusuhin urusan orang lain yang enggak penting masih saja dikasih panggung terus,happy,3
bisa beli buat makan seminggu kak,neutral,4
agak geli gua ceng,disgust,1
gede banget loh lihat indonesia umr saja masih ada yang sekian menurutku jika punya kesempatan itu jangan disia siakan bangun pondasi untuk masa kita pulang kesempatan bisa kerja kesana sudah bagus banget kalau dipakai foya foya dan habis ya sulit pas balik,neutral,4
enggak cukup kah dengan jay yang mengomong di live kemarin mau sampai berapa member lagi yang harus call out kalian astaga,surprise,6
astaga dari elex saja ada tulunggg belum mampc dan pagi,surprise,6
ketawa banget plissss wkwkwk,happy,3
kerja banting sikinyis tulang demi tersayang,neutral,4
aku minat banget omg arghh kak dodo nangis nih aku,sad,5
baik juga aku lancarr kak minggu ini sudah selesai uhuyy senang bisa main disini lagi,happy,3
makan mi hari berturut turut walaupun enggak yang instant terus tapi tetap ngeri,fear,2
star mau nangis lagu sewinter salju sendu hujan² vibes ini malah kalau mau encore lagu doughnut harus twerk dulu ketawa banget twice lu kocak banget,happy,3
media sama akun berita bodong indon masih pada dokem saja,neutral,4
baru juga buka laptop langsung mules dada gua perih dan cemas gakaruan,fear,2
kalo sama orang tua enggak tapi kalo sama orang yang enggak ada hubungannya kesel banget,angry,0
ini lagi panas mulu hawanya astaga,surprise,6
takut aku pulangpulang nangis nanti sepuluh kosong bagaimana ya v,sad,5
sumpah kenapa sih pada tolol begini jijik banget,angry,0
bisa kerja cepat,neutral,4
eh kata gue kalo ada surprise tolong datengnya ya yuyur kaget,surprise,6
gemas banget dengan orang dewasa yang pergi ke rumah sakit tapi rewel enggak mau diperiksa diminta buat lepas jaket enggak mau dipegang perutnya tapi kelurga marah di suruh pipis enggak mau i mean ini nakes nyuruh orang periksa pasti ada tujuannya bukan iseng doang bagaimana mau tau penyakit,angry,0
wow more automated bollox tapi flood the market with more shite done with you tone deaf gimps now,surprise,6
sedih,sad,5
astaga kayaknya bukan begitu tafsirannya astagfirullah boleh share postingan aslinya kayaknya itu memang enggak ngajingaji ke orang yang enggak benar gila gila laporin penistaan agama,angry,0
kemarin sehari kali sekarang sudah tadi juga nangis harusnya ya,sad,5
astaga gas,surprise,6
selamat hari lahir nayaaaa,neutral,4
melihat tl sekarang aku benaran kayak hah ternyata sebanyak ini ya orang yang merasa ini seru dan senang sama yang di dirita sfs dan haechan paling bikin geleng geleng kebanyaka stan member encete benaran enggak ada tenanga ngebacanya jahat banget,happy,3
aku benci len,angry,0
gua enggak tau dek kudu nangis apa ketawa baca ini deh gas minggu besok meet up kita kepending mulu,happy,3
orang dalem semua wkwk agensi gila memang,angry,0
ada twt tentang lesbi bercumbu terus aku ketawa sampai jatuh,happy,3
mereka itu kayak diam diam perhatian tapi takut buat mulai lagi,fear,2
bang gue dilupain mulu deh sedih banget,sad,5
betul twitt kita yang hit hanya bertahan hari kecuali kita pin pun kalo buka profil kita baru terlihat,neutral,4
kangen era tidur karena capek ikut kegiatan lomba ngedit bukan era tidur karena habis nangis,sad,5
yang enggak sukanya itu kalo soal kumpul soal makan soal pungutan soal hampers buat gurunya berasa kayak cuma itu saja yang penting yang kasihan yang orang tua muridnya punya anak yang sekolah belum lagi bentrok misal sama hari rayakenaikan kelas,sad,5
ngeri sisan lek onok songwriter sing njaluk bayaran tekan fee manggung band e atas nama direct license dan laguku sing nggarakno kowe terkenal kan guduk kewajiban e band,fear,2
ini smwnya yang tua dan enggak kerja tuh ganti genzi saja,neutral,4
buat calon ibu atau yang sudah jadi ibu mohon untuk enggak cerita masalah rumah tangga ke anak pertama kita bukan psikolog ya terima kasih saya muak dan jijik,disgust,1
lah memang padahal punya teleport tapi tahun enggak balik apa itu kalo bukan jijik matanya habis ditusuk saja enggak mau istirahat seminggu di rumah malah buru mau travelling bareng boruto sasuke enggak pernah tertarik,disgust,1
tidak perlu khawatir untuk jenis bri debit yang dimiliki tidak mempengaruhi jenis rekening dan tetap dapat digunakan transaksi ya namun untuk biaya administrasi bri debit tersebut adalah rp per bulan ya mohon selalu menjaga kerahasiaan data perbankan seperti pin,fear,2
kenawhy yhh kebanyakan para author itu suka banget buat bentukan seme dengan sifat brengsek tahi anjing enggak ketolong brengsek nya mana suka hahaheho lagi kan gue jadi sakit ati bacanya siall mau berhenti baca cuman penasaran fakkk,angry,0
ngebayanginnya sudah mual duluan gue sumpah,disgust,1
sedih banget nih film,sad,5
ini tuh tipe tontonan yang bikin mikir sekaligus ketawa sendiri vibes nya campur aduk tapi enak,happy,3
merinding kalo sudah mode cici surabaya,fear,2
kementerian pertahanan kita mantap banget kerja sama internasional tetap jaga kedaulatan dan kepentingan nasional semangat terus indonesia,happy,3
kok enggak nangis lagi,sad,5
im just over the moon that useless feudal thug maka stalin lost ini his own turf even najis retained pekan ini never happened before ini tn politics afaik where incumbent cuma lost,disgust,1
oten oten msh belum sadar ya ten saudaramu yang di negeri barat sana sudah jijik dengan israel kau masih jadi penjilat ya tenmemang dongo bon bahlol,disgust,1
dih nangis di toilet,sad,5
let me get free properly i will memakai a detailed thread on mahid being a green forest and how seher si feelings are not trauma bonding,sad,5
mau nangis fanfic hancur lebur gue lebih bagusan daripada skripsi gue ya allah benaran enggak tahu aku mengetik apaan hahahsudhd,sad,5
jasa cowok enhypen kali flazz baca open jastip fee ke payment langsung cowok dikirim ke alamat masing² aku punya beberapa akun baca ya jadi jangan khawatir kalo double member trusted no scam bisa dilihat acc kali ku,fear,2
ketawa kepake juga hokinya,happy,3
ditinggal kerja sebentar kayak ditinggal setahun kamu deh kalau bukan adik kandung sudah kakak entot kamu deh,neutral,4
bercandaan ini memang terlintas sih tapi enggak pernah keucap didepan orang tua karena aku takut,fear,2
pantas tadi nakal tibatiba balik ke kamar nangis ternyata lu mengganggu,sad,5
tenangin nafsu makan lu,neutral,4
gue baca komenkomen buzzerp binaan konoha lihat mereka kerja kagak,neutral,4
beside of this case tapi sumpah gue pernah belajar pajak dan enggak kaget kalo para rich people tuh demen gelapin pajak biar kekayaan mereka tetap utuh,surprise,6
gua kira gua sudah enggak sedih tapi lihat perban di foto pawat gua langsung nyes banget huhu,sad,5
wow they don t memakai buildings like they used tapi what stunning architecture and the craftsmanship is incredible,surprise,6
senang banget tiap kamis bisa lihat dedekkk,happy,3
emang sudah sehari hari gempa sebenernya,neutral,4
ok but all and all gunwook pls duduk yang benar ih takut banget,fear,2
saking khawatir kelahi sampai ada info equal billing,fear,2
kenapa gue lihatnya sedih ya,sad,5
astaga red flag nyaaah,surprise,6
ngising jijak jijik giliran weruh sing gud luking muni rahim anget tenangin pepek lo alaaahhh ngising wuk,disgust,1
brengsek banget bela daritadi gue cekikikan,angry,0
brengsek banget memang orang yang nipuuuu,angry,0
brengsek i hps semuanya,angry,0
banyak banget pekerjaan hari ini astaga,surprise,6
years ago isi room chat sama bokap ya bukti tf sama izin mau main tapi lately isinya gue ngomelin bokap karena dia enggak beres banget sedih sih,sad,5
gambaran lu tuh ketika lu jadi cewek di kehidupan yang lain saking brengsek dan annoying nya lu lu jadi pasak emosi para kaum pria wkwwkw gantung diri gih sono,angry,0
karena gue juga punya pengalaman mirip sudah kesel banget sama dia karena datang telat salah tempat dan akhirnya harus menunggu lama benar sudah mau marah rasanya tapi begitu dia datang buyar malah perasaan lega doang cuma sekedar kata maaf sudah cukup padahal kalo orang lain pasti gue marahin,angry,0
hahahahaah aku sendiri pun terkejut banyak betul aku beli,surprise,6
awkwkwkwk najis habis,disgust,1
sebelum pindah boleh datang jam masuk jam terus sambil makan sekarang sampai sebelum jam makan di depan karena ruangannya lebih kecil,angry,0
akun fake kau ya mulut najis kau suka fitnah saya yang ganggu kau sampai ke kantor tuh siapa ada bukti tidak kan kau di pecat kantor baru saya masuk kau di pecat karena apatdk tau malu kerja bobrok masih mau caper sok tersakiti lihat akun fake najis yang bully saya,disgust,1
jangan ketawa nona inon bentar lagi mau terjun dari jembatan nihj,happy,3
enggak kak tapi memang enggak bisa minum kopi saja kayaknya reaksinya selalu sama bikin mual amp degdegan,fear,2
perempuan enggak bisa masak masakan standar rumahan yang sederhana sih memang keterlaluan karena selain bisa menjaga kualitas masakan dan bersih suami pasti sangat senang masakan istrinya,happy,3
jangankan dunia kami rakyat ri saja sudah terkejut bahwa baru kali ini presiden amp wakil sangat under performnya memalukan,surprise,6
aku lupa ngehide mama aku di status wangsaf yahahah amjir sw aku jorok,disgust,1
Ruangan ini panas banget AC-nya dari bulan lalu nggak dibenerin juga,angry,0
wkwkwkk eyik pasti najis disamain sama cepek,disgust,1
aku selalu mikir kalo selera musik gue nggabisa cocok ke siapa pun tapi bakal senang kalo diputerin dewa atau kla project tiap kita outing not tapi mention yet aku dengar semua semua element dan aku ngamukkk kalo satu lagi ini disekip,happy,3
akhirnya waktunya datang pemadaman reguler untuk lampu yang disumberi kekuatan derung mesin diesel aku beranjak pulang disertai gonggongan anjing penjaga yang garang tapi mundur hanya dengan gestur berjongkok,angry,0
nyam nyam memancing amarah orang yang sudah marah,angry,0
jujur jijik sama enabler ks tuh,disgust,1
ingat teman biaya paling murah dari membangun keluarga adalah melahirkan persalinan kalo kalian enggak bisa afford biaya itu ke depannya juga berat susu popok kebutuhan vitamin ibu untuk pemulihan dll jangan senang bikin anaknya keturunan kalian enggak sepenting itu,happy,3
pernah hari sih melek sih pokoknya dulu temenku sampai bingung aku tidurnya kapan ya karena memang enggak tidur,neutral,4
Lantai kamar mandinya berlumut hijau tebal dan licin,disgust,1
memang aku yang salah sih kemarin aku ngiranya dia sayang banget ke aku memang bego saja sih hahahaha sekarang jadi sedih soalnya even aku sampai segila ini dia tetap b saja hahahahaaha,sad,5
jujur lebih jijik sama cicak kecoak gampang banget dibunuhnya tapi cicak ew jatuh di kaki saja deh mau nangis rasanya,disgust,1
ya tergantung fandomnya lah nder karakter populernya mayoritas cowok semua ya jangan kaget kalau fanficnya kebanyakan bl unpopular ship also exist kalau kamu sukanya ship yang enggak populer ya jangan kaget juga kalo fanficnya dikit solusi bikin sendiri nder yang kamu mau,surprise,6
ketawa banget najis,happy,3
